userId	movieId	tag	timestamp
15204	1	fantasy	1306926130
20346	1	fantasy	1312088987
36312	1	fantasy	1243748536
103368	1	fantasy	1258698588
104394	1	fantasy	1246932578
5196	2	fantasy	1454270092
7803	2	fantasy	1528843929
15204	2	fantasy	1555875340
17111	2	fantasy	1511869079
22307	2	fantasy	1325585318
34164	2	fantasy	1516429419
35058	2	fantasy	1325783796
38672	2	fantasy	1530088342
53837	2	fantasy	1531740754
58533	2	fantasy	1212775891
80394	2	fantasy	1455138164
84442	2	fantasy	1154126755
90965	2	Fantasy	1139711697
103859	2	fantasy	1250387719
106681	2	fantasy	1275477535
120092	2	fantasy	1528829947
131454	2	fantasy	1328614307
137179	2	fantasy	1446853496
147750	2	fantasy	1340921558
149463	2	fantasy	1249829526
21096	3	sequel	1385355832
95673	3	sequel	1354556170
36535	5	Fantasy	1171941643
124601	5	sequel	1137102574
3225	10	sequel	1206902400
86425	19	sequel	1365944480
134386	24	Fantasy	1525583070
20346	34	fantasy	1378147014
30602	34	Animal	1208242033
35058	34	fantasy	1325783990
36159	34	fantasy	1437939518
89977	34	fantasy	1514482514
115820	34	Animal	1241223715
142781	34	fantasy	1519394240
149463	34	fantasy	1249829677
81723	47	the best	1161194641
123527	60	fantasy	1529867295
6550	72	college	1528352378
34047	72	college	1569082220
125054	72	college	1449839708
6550	76	alien planet	1528612468
35241	82	fantasy	1334408193
19346	153	sequel	1531168498
39742	153	sequel	1140403745
44444	153	sequel	1506527204
54838	153	sequel	1279656368
66999	153	sequel	1484298016
136147	153	sequel	1190926630
137655	153	sequel	1460064533
142781	153	sequel	1521354029
153559	153	sequel	1139770135
6550	154	fantasy	1528592816
6550	158	ghost	1528513365
89320	158	ghost	1147408919
90965	158	ghost	1139711048
100871	158	ghost	1137276694
115820	158	ghost	1241131885
6038	163	sequel	1415897144
20075	163	sequel	1371476774
95673	163	sequel	1354556158
110668	163	sequel	1153710106
6550	165	sequel	1527452931
95673	165	sequel	1354315717
105728	165	sequel	1538090137
144008	171	4th wall	1374326542
6550	179	college	1528591963
5819	196	alien	1567974749
5819	196	aliens	1567974731
6550	196	alien	1527452826
6550	196	alien dna	1527452826
9826	196	alien	1440419606
11952	196	Aliens	1268622927
13788	196	aliens	1447159696
